collection_no,source_database,collection.authorizer,occurrence.genus_name,original.genus_reso,occurrence.reference_no,collection.reference_no,pubyr,collection_name,country,Continent,latlng_basis,paleolatdec,Lat Bin,paleolngdec,period,epoch,subepoch,stage,10_my_bin,FR2_bin,max_interval,min_interval,interval_base,interval_top,interval_midpoint,interpolated_base,interpolated_top,interpolated_mid,ma_max,ma_min,ma_mid,formation,lithology1
91375,ETE,M. Carrano,Afrovenator,,13778,13778,1994,In Abaka,Niger,Africa,based on nearby landmark,9.11,N1,1.38,Jurassic,,,,,,Middle Jurassic,Late/Upper Jurassic,175.6,145.5,160.55,,,0,175.6,145.5,160.55,Tiourarén,not reported
51747,ETE,M. Carrano,Bahariasaurus,,13775,13775,1934,Gebel Ghorâbi,Egypt,Africa,estimated from map,8.12,N1,24.12,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,claystone
51744,ETE,M. Carrano,Bahariasaurus,,13775,13906,1932,Gebel el Dist south (7p),Egypt,Africa,based on nearby landmark,8.13,N1,23.68,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25219,PaleoDB,M. Carrano,Bahariasaurus,,45866,45866,1958,Mount Iguallala,Niger,Africa,based on nearby landmark,1.37,N1,0.28,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
25221,PaleoDB,M. Carrano,Bahariasaurus,,7056,45826,1953,In Abangarit-Tamesna,Niger,Africa,estimated from map,2.25,N1,0.52,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
56130,ETE,M. Carrano,Berberosaurus,,25431,15118,2004,"Douar of Tazouda, locality B",Morocco,Africa,based on nearby landmark,26.62,N1,-3.43,Jurassic,Early/Lower Jurassic,,,,,Pliensbachian,Toarcian,189.6,175.6,182.6,,,0,189.6,175.6,182.6,,sandstone
25194,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,El Rhaz,Niger,Africa,estimated from map,2.85,N1,4.88,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,Aptian,,125.45,112.6,119.025,,,0,125.45,112.6,119.025,Elrhaz,sandstone
25197,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,34 km southwest of El Rhaz,Niger,Africa,estimated from map,0.48,N1,3.39,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Elrhaz,sandstone
59689,ETE,M. Carrano,Carcharodontosaurus,,24593,15703,1925,2 km from Timimoun,Algeria,Africa,based on nearby landmark,15.41,N1,0.36,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Continental Intercalaire,not reported
59690,ETE,M. Carrano,Carcharodontosaurus,,24593,15703,1925,5 km from Timimoun,Algeria,Africa,based on nearby landmark,15.41,N1,0.36,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Continental Intercalaire,not reported
67203,PaleoDB,M. Carrano,Carcharodontosaurus,,19183,19183,1988,"Bir Miteur, RH 45",Tunisia,Africa,estimated from map,15.96,N1,10.33,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Early/Lower Albian,,112.6,109,110.8,112,107.867,109.9335,112.6,109,110.8,Aïn el Guettar,"""carbonate"""
59341,ETE,M. Carrano,Carcharodontosaurus,,16999,16999,1967,Oued Boudjihane,Algeria,Africa,based on nearby landmark,18.4,N1,2.27,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Continental Intercalaire,sandstone
58577,ETE,M. Carrano,Carcharodontosaurus,,26149,16632,2004,Iguidi,Niger,Africa,based on nearby landmark,2.84,N1,0.37,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Echkar,not reported
25126,PaleoDB,M. Carrano,Carcharodontosaurus,,7053,7053,1931,"Ain Gedid, Gebel Harra",Egypt,Africa,based on nearby landmark,8.02,N1,23.83,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîja,marl
47136,PaleoDB,M. Carrano,Carcharodontosaurus,,12577,12577,2001,BDP 2000-18,Egypt,Africa,stated in text,8.04,N1,23.72,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Baharîje,"""shale"""
25127,PaleoDB,M. Carrano,Carcharodontosaurus,,13775,7054,1915,Gebel el Dist (7p),Egypt,Africa,estimated from map,8.14,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25325,PaleoDB,M. Carrano,Carcharodontosaurus,,7098,7098,1996,"Er Remlia, Gara es Sbaa",Morocco,Africa,estimated from map,17.75,N1,-4.84,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Aoufous,sandstone
155212,,P. Mannion,Carcharodontosaurus,,53517,53517,2010,Chaaft (levels 1–3),Morocco,Africa,based on nearby landmark,17.82,N1,-3.88,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
163917,,M. Carrano,Carcharodontosaurus,,53517,53517,2010,Khetitila Srhira,Morocco,Africa,based on nearby landmark,18.47,N1,-3.84,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
144705,PaleoDB,P. Mannion,Carcharodontosaurus,,53517,53517,2010,Takemout,Morocco,Africa,based on nearby landmark,18.63,N1,-3.99,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
163916,,M. Carrano,Carcharodontosaurus,,53517,53517,2010,Bou Laalou,Morocco,Africa,based on nearby landmark,18.66,N1,-4.32,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
54083,ETE,M. Carrano,Carcharodontosaurus,,33924,14609,1992,"Bee's Friday Site, Dakhleh Oasis",Egypt,Africa,stated in text,8.98,N1,25.15,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,Campanian,,84.9,70.6,77.75,,,0,84.9,70.6,77.75,Mut,"""shale"""
25221,PaleoDB,M. Carrano,Carcharodontosaurus,,45826,45826,1953,In Abangarit-Tamesna,Niger,Africa,estimated from map,2.25,N1,0.52,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
25355,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,"Oued Baouet, Téfidet",Niger,Africa,based on nearby landmark,4.04,N1,5.5,Cretaceous,,,,,,Early/Lower Berriasian,Early/Lower Cenomanian,145.5,94.3,119.9,145.5,97.567,121.5335,145.5,94.3,119.9,Continental Intercalaire,sandstone
25226,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,45920,1959,"Oued Timmersöi, west of In Tedreft",Niger,Africa,based on nearby landmark,8.55,N1,3.28,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Barremian,145.5,125.45,135.475,145.5,125,135.25,145.5,125.45,135.475,,not reported
25192,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,45858,1957,"Djoua Valley, 120 km east of Fort Flatters",Algeria,Africa,based on nearby landmark,11.44,N1,6,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,Continental Intercalaire,not reported
25137,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,south of Alrar,Algeria,Africa,based on nearby landmark,13.96,N1,10.49,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Albian,145.5,99.7,122.6,145.5,99.6,122.55,145.5,99.7,122.6,Continental Intercalaire,not reported
25200,PaleoDB,M. Carrano,Carcharodontosaurus,,30615,30615,1951,"Djebel el Haddada, Guermessa",Tunisia,Africa,based on nearby landmark,15.31,N1,9.17,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,Continental Intercalaire,sandstone
25139,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,45825,1947,"Foggara Ben Draou, Aoulef Cheurfa",Algeria,Africa,based on nearby landmark,16.24,N1,2.93,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Albian,145.5,99.7,122.6,145.5,99.6,122.55,145.5,99.7,122.6,Continental Intercalaire,not reported
13274,Fossilworks,J. Alroy,Carcharodontosaurus,,9649,9649,1989,Hamada du Guir,Morocco,Africa,based on political unit,17.49,N1,-3.82,Cretaceous,,,,,,Late/Upper Albian,Early/Lower Cenomanian,105.3,94.3,99.8,103.733,97.567,100.65,105.3,94.3,99.8,Tegana?,"""siliciclastic"""
166013,,M. Carrano,Carcharodontosaurus,,54265,54265,1978,Ksar Krerachfa,Tunisia,Africa,estimated from map,17.56,N1,12.22,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Cretaceous,,145.5,99.7,122.6,,,0,145.5,99.7,122.6,Continental Intercalaire,conglomerate
52887,ETE,M. Carrano,Carcharodontosaurus,,13037,13037,1996,Tafilalt region (NMC/CMN),Morocco,Africa,estimated from map,17.72,N1,-3.24,Cretaceous,,,,,,Albian,Cenomanian,112.6,94.3,103.45,,,0,112.6,94.3,103.45,Kem Kem,sandstone
52887,ETE,M. Carrano,Carcharodontosaurus,,13037,13037,1996,Tafilalt region (NMC/CMN),Morocco,Africa,estimated from map,17.72,N1,-3.24,Cretaceous,,,,,,Albian,Cenomanian,112.6,94.3,103.45,,,0,112.6,94.3,103.45,Kem Kem,sandstone
51749,ETE,M. Carrano,Deltadromeus,,7098,13775,1934,Ain Murûn north,Egypt,Africa,estimated from map,8.14,N1,23.66,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,not reported
25127,PaleoDB,M. Carrano,Deltadromeus,,7098,7054,1915,Gebel el Dist (7p),Egypt,Africa,estimated from map,8.14,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
